City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Ocos,GT,14.5094,-92.1933,82.31,73,8,5.75,clear sky
163,Nabire,ID,-3.3667,135.4833,86.54,63,96,3.8,overcast clouds
164,Nerchinskiy Zavod,RU,51.3088,119.61,-7.28,94,100,2.75,overcast clouds
165,Mataura,NZ,-46.1927,168.8643,66.47,35,100,2.75,overcast clouds
166,Solnechnyy,RU,50.7214,136.6319,13.62,86,100,6.02,overcast clouds
167,Arkhipo-Osipovka,RU,44.37,38.52,35.33,68,100,15.66,overcast clouds
168,Lima,PE,-12.0432,-77.0282,70.9,79,0,11.5,clear sky
169,Kembe,CF,4.6228,21.8865,73.17,28,87,1.12,overcast clouds
170,Katsuura,JP,35.1333,140.3,46.11,68,99,23.6,overcast clouds
171,Yatou,CN,37.15,122.3833,31.8,74,100,20.18,overcast clouds
172,New Norfolk,AU,-42.7826,147.0587,67.66,51,96,3.0,overcast clouds
173,Salalah,OM,17.0151,54.0924,71.69,18,0,18.41,clear sky
174,Yumen,CN,40.2833,97.2,26.46,42,2,12.8,clear sky
175,Kupang,ID,-10.1667,123.5833,84.11,66,4,2.53,clear sky
176,Fare,PF,-16.7,-151.0167,81.46,73,100,14.58,light rain
177,Barra Patuca,HN,15.8,-84.2833,76.66,81,2,9.01,clear sky
178,Ust-Ishim,RU,57.6935,71.1665,-6.16,100,95,3.13,overcast clouds
179,Tura,IN,25.5198,90.2201,59.94,63,0,3.27,clear sky
180,Saint Anthony,US,45.0205,-93.218,8.15,79,100,12.66,light snow
181,Deputatskiy,RU,69.3,139.9,-11.51,95,98,4.79,overcast clouds
182,Provideniya,RU,64.3833,-173.3,-3.89,65,0,8.95,clear sky
183,Kruisfontein,ZA,-34.0033,24.7314,65.88,92,100,11.9,light rain
184,Ashqelon,IL,31.6693,34.5715,57.4,71,99,8.61,overcast clouds
185,Tamandare,BR,-8.7597,-35.1047,79.79,76,27,9.75,scattered clouds
186,Leiyang,CN,26.4024,112.8591,44.8,79,27,2.44,scattered clouds
187,Bethel,US,41.3712,-73.414,26.96,65,100,9.22,overcast clouds
188,Te Anau,NZ,-45.4167,167.7167,68.36,45,100,1.74,overcast clouds
189,Acari,PE,-15.4311,-74.6158,73.76,76,38,3.87,scattered clouds
190,Boden,SE,65.8252,21.6886,8.6,97,18,3.71,few clouds
191,Arman,RU,59.7,150.1667,4.57,70,94,8.88,overcast clouds
192,Lasa,IT,46.6166,10.7002,29.66,69,3,1.7,clear sky
193,San Felipe,VE,10.3399,-68.7425,69.8,94,48,4.83,scattered clouds
194,Severo-Kurilsk,RU,50.6789,156.125,26.58,67,58,15.75,broken clouds
195,Nishihara,JP,26.1842,127.7558,64.06,88,75,19.57,broken clouds
196,Vaini,TO,-21.2,-175.2,80.42,71,85,15.95,overcast clouds
197,Manhattan,US,40.7834,-73.9662,29.86,65,100,11.5,overcast clouds
198,Suchindram,IN,8.15,77.4833,76.19,73,15,13.6,few clouds
199,Soyo,AO,-6.1349,12.3689,78.48,85,100,5.35,overcast clouds
200,Biryusinsk,RU,55.9634,97.8235,-19.32,98,16,4.61,few clouds
201,Lida,BY,53.8833,25.2997,27.25,81,64,10.63,broken clouds
202,Hirara,JP,24.8,125.2833,66.47,82,75,23.02,broken clouds
203,Ust-Karsk,RU,52.7011,118.8077,-6.99,92,100,1.01,overcast clouds
204,Bowen,AU,-20.0167,148.2333,83.41,63,13,21.52,few clouds
205,Flinders,AU,-34.5833,150.8552,83.17,59,97,4.0,overcast clouds
206,Karratha,AU,-20.7377,116.8463,95.85,38,60,9.01,broken clouds
207,Naze,JP,28.3667,129.4833,56.32,82,100,19.82,light rain
208,Santa Maria,BR,-29.6842,-53.8069,60.78,36,0,0.45,clear sky
209,Cherskiy,RU,68.75,161.3,-21.87,97,95,6.29,overcast clouds
210,Saint George,US,37.1041,-113.5841,61.39,18,0,1.99,clear sky
211,Porto Velho,BR,-8.7619,-63.9039,75.25,94,0,0.0,clear sky
212,Guerrero Negro,MX,27.9769,-114.0611,69.04,38,6,9.66,clear sky
213,Mendeleyevo,RU,56.0333,37.2167,27.48,59,0,15.66,light snow
214,Mount Gambier,AU,-37.8333,140.7667,74.43,51,23,8.66,few clouds
215,Khani,GE,41.9563,42.9566,31.57,79,100,7.34,overcast clouds
216,Malakal,SS,9.5334,31.6605,76.87,16,93,9.15,overcast clouds
217,Ambilobe,MG,-13.2,49.05,71.6,94,17,1.88,few clouds
218,Saint-Joseph,RE,-21.3667,55.6167,79.16,84,18,11.81,few clouds
219,Dabakala,CI,8.3667,-4.4333,74.32,69,8,2.13,clear sky
220,Kyshtovka,RU,56.555,76.6271,7.21,96,100,6.13,overcast clouds
221,Saurimo,AO,-9.6608,20.3916,64.31,97,100,2.62,overcast clouds
222,Campestre,BR,-21.7111,-46.2464,63.41,93,6,1.52,clear sky
