City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Gusau,NG,2022-02-14 02:02:00,12.1628,6.6614,69.71,14,14,9.66
143,Tautira,PF,2022-02-14 01:57:07,-17.7333,-149.15,87.82,77,75,17.47
144,Komsomolskiy,UZ,2022-02-14 01:57:40,40.4272,71.7189,36.32,87,100,2.3
145,Ewa Beach,US,2022-02-14 02:02:02,21.3156,-158.0072,79.99,48,8,11.01
146,Plouzane,FR,2022-02-14 02:02:02,48.3833,-4.6167,46.45,84,20,11.5
147,Hobart,AU,2022-02-14 02:00:08,-42.8794,147.3294,69.03,66,75,12.66
148,Saldanha,ZA,2022-02-14 01:58:38,-33.0117,17.9442,64.45,90,0,14.07
149,Tairua,NZ,2022-02-14 02:02:04,-37.0167,175.85,67.03,73,54,4.14
150,Letlhakane,BW,2022-02-14 02:02:05,-21.4167,25.5833,68.54,50,19,7.09
151,Kapaa,US,2022-02-14 02:02:05,22.0752,-159.319,76.48,64,8,5.01
152,Sicuani,PE,2022-02-14 02:02:06,-14.2694,-71.2261,45.48,87,58,2.39
153,Letterkenny,IE,2022-02-14 02:02:06,54.95,-7.7333,44.02,91,100,10.51
154,Thompson,CA,2022-02-14 02:02:06,55.7435,-97.8558,-20.47,100,56,3.8
155,High Level,CA,2022-02-14 02:02:08,58.5169,-117.136,-9.08,100,32,2.44
156,Katangli,RU,2022-02-14 02:02:08,51.7102,143.2326,5.16,77,8,11.52
157,Banda Aceh,ID,2022-02-14 02:02:09,5.5577,95.3222,81.09,72,64,7.0
158,Norman Wells,CA,2022-02-14 02:02:09,65.282,-126.8329,-7.56,71,100,3.44
159,Adrar,MR,2022-02-14 02:02:10,20.5022,-10.0711,59.85,24,95,10.83
160,Paamiut,GL,2022-02-14 02:02:11,61.994,-49.6678,10.36,90,100,17.74
161,Bethel,US,2022-02-14 01:57:30,41.3712,-73.414,27.48,67,87,10.0
162,Tabou,CI,2022-02-14 02:02:11,4.423,-7.3528,76.86,88,91,4.05
163,Pevek,RU,2022-02-14 02:02:12,69.7008,170.3133,-15.95,97,100,8.41
164,Ravar,IR,2022-02-14 02:02:13,31.2656,56.8055,42.82,38,0,5.35
165,Leningradskiy,RU,2022-02-14 01:59:02,69.3833,178.4167,-16.44,90,77,5.48
166,Tuatapere,NZ,2022-02-14 02:02:17,-46.1333,167.6833,65.82,51,100,5.68
167,Onega,RU,2022-02-14 02:02:18,63.9061,38.1404,27.82,94,100,12.15
168,Coquimbo,CL,2022-02-14 01:59:05,-29.9533,-71.3436,65.93,72,0,6.91
169,College,US,2022-02-14 01:57:48,64.8569,-147.8028,9.59,82,100,3.44
170,Aleppo,SY,2022-02-14 02:02:18,36.25,37.5,44.46,88,0,10.2
171,Cascais,PT,2022-02-14 02:02:19,38.6979,-9.4215,55.44,70,0,20.0
172,Mangrol,IN,2022-02-14 02:02:20,21.1167,70.1167,64.45,75,16,9.13
173,Kalmunai,LK,2022-02-14 02:02:20,7.4167,81.8167,77.81,79,81,9.42
174,Vila Franca Do Campo,PT,2022-02-14 02:02:21,37.7167,-25.4333,58.19,70,100,4.09
175,Kruisfontein,ZA,2022-02-14 02:02:22,-34.0033,24.7314,65.88,92,100,11.9
176,Catia La Mar,VE,2022-02-14 02:00:15,10.6038,-67.0303,75.81,81,17,11.21
177,Tuktoyaktuk,CA,2022-02-14 02:02:22,69.4541,-133.0374,-33.2,100,65,6.46
178,Otanche,CO,2022-02-14 02:02:23,5.6567,-74.1825,66.24,97,88,3.0
179,Khatanga,RU,2022-02-14 02:02:24,71.9667,102.5,-27.56,100,52,2.33
180,Tiksi,RU,2022-02-14 02:02:25,71.6872,128.8694,-12.42,91,19,10.47
181,Krasnoselkup,RU,2022-02-14 02:02:27,65.7,82.4667,-3.8,94,67,14.32
182,Tazovskiy,RU,2022-02-14 02:02:27,67.4667,78.7,-7.15,96,92,10.25
183,San Juan Del Sur,NI,2022-02-14 02:02:28,11.2529,-85.8705,79.54,72,4,20.42
184,Maryborough,AU,2022-02-14 02:02:29,-25.5333,152.7,77.04,77,33,11.3
185,Ilhabela,BR,2022-02-14 02:00:45,-23.7781,-45.3581,74.7,90,29,8.34
186,Moree,AU,2022-02-14 02:02:30,-29.4667,149.85,85.19,28,4,5.77
187,Broome,US,2022-02-14 02:02:30,42.2506,-75.833,16.02,75,0,8.05
188,Caravelas,BR,2022-02-14 01:58:46,-17.7125,-39.2481,75.09,91,95,4.72
189,Leh,IN,2022-02-14 01:59:17,34.1667,77.5833,-1.5,86,54,2.8
190,Cacoal,BR,2022-02-14 01:58:04,-11.4386,-61.4472,71.73,97,100,1.68
191,Olonets,RU,2022-02-14 02:02:34,60.9847,32.9698,30.6,96,100,14.45
192,Broken Hill,AU,2022-02-14 02:02:34,-31.95,141.4333,92.84,20,97,7.14
193,Whitefish,US,2022-02-14 02:00:22,48.4111,-114.3376,34.41,70,76,0.98
194,Hauterive,FR,2022-02-14 02:02:35,46.0901,3.4459,51.58,66,99,16.31
195,Camacha,PT,2022-02-14 02:02:36,33.0833,-16.3333,57.96,72,20,3.44
196,Satellite Beach,US,2022-02-14 02:02:37,28.1761,-80.5901,66.06,87,20,3.44
197,Nikolskoye,RU,2022-02-14 02:02:37,59.7035,30.7861,36.88,91,100,11.54
198,Alice Springs,AU,2022-02-14 02:01:26,-23.7,133.8833,90.95,24,0,10.36
199,Kashi,CN,2022-02-14 02:02:37,39.4547,75.9797,27.23,58,8,3.91
200,Sabang,ID,2022-02-14 02:02:38,5.8933,95.3214,82.26,72,36,10.96
201,Hasaki,JP,2022-02-14 02:02:38,35.7333,140.8333,41.4,57,100,28.32
202,Carutapera,BR,2022-02-14 02:02:39,-1.195,-46.02,77.02,90,100,6.69
203,Nishihara,JP,2022-02-14 02:00:14,26.1842,127.7558,64.06,88,75,18.41
204,Ahipara,NZ,2022-02-14 02:02:39,-35.1667,173.1667,70.84,55,17,11.52
205,Mahebourg,MU,2022-02-14 02:01:07,-20.4081,57.7,80.26,88,100,15.12
206,Kayerkan,RU,2022-02-14 02:02:40,69.3497,87.7602,-8.77,80,12,7.58
207,Shirvan,AZ,2022-02-14 02:02:42,39.9509,48.8994,38.03,77,80,10.56
208,Cherskiy,RU,2022-02-14 02:02:43,68.75,161.3,-21.87,97,95,6.29
209,Westport,US,2022-02-14 01:59:53,41.1415,-73.3579,28.98,66,99,7.0
210,Vila Velha,BR,2022-02-14 02:01:02,-20.3297,-40.2925,73.94,97,9,1.99
211,Mount Gambier,AU,2022-02-14 02:02:46,-37.8333,140.7667,74.43,51,23,8.66
212,Severo-Kurilsk,RU,2022-02-14 02:02:46,50.6789,156.125,26.58,67,58,15.75
213,Pacific Grove,US,2022-02-14 02:00:30,36.6177,-121.9166,73.8,81,100,5.75
214,Beidao,CN,2022-02-14 02:02:48,34.5686,105.8933,35.22,83,100,2.39
215,Dhandhuka,IN,2022-02-14 02:02:49,22.3667,71.9833,62.38,34,9,5.59
216,Tari,NG,2022-02-14 02:02:49,12.4086,4.4914,71.91,13,0,9.4
217,Alikalia,SL,2022-02-14 02:02:50,9.1667,-11.4,69.22,71,41,1.83
218,Chumikan,RU,2022-02-14 02:02:51,54.7183,135.315,1.36,77,83,4.79
219,Bar Harbor,US,2022-02-14 02:02:53,44.3876,-68.2039,18.91,44,100,11.5
220,Port Lincoln,AU,2022-02-14 02:02:30,-34.7333,135.8667,71.87,69,15,11.99
221,Kangasala,FI,2022-02-14 02:02:54,61.4638,24.076,36.14,99,100,10.31
222,Anton Lizardo,MX,2022-02-14 02:02:55,19.05,-95.9833,65.21,62,97,28.39
223,Narsaq,GL,2022-02-14 02:02:55,60.9167,-46.05,21.42,96,100,7.07
224,Antofagasta,CL,2022-02-14 02:02:55,-23.65,-70.4,68.16,79,82,4.59
225,Husavik,IS,2022-02-14 02:02:56,66.0449,-17.3389,15.21,77,95,16.96
226,Muli,MV,2022-02-14 02:02:57,2.9167,73.5667,81.59,76,47,10.22
227,Debre Tabor,ET,2022-02-14 02:02:59,11.85,38.0167,53.64,53,3,5.28
228,Malanje,AO,2022-02-14 02:03:02,-9.5402,16.341,63.34,98,100,4.85
229,Mayumba,GA,2022-02-14 02:03:03,-3.432,10.6554,77.16,89,94,2.39
230,Batemans Bay,AU,2022-02-14 02:03:04,-35.7167,150.1833,90.19,41,99,10.36
231,Half Moon Bay,US,2022-02-14 02:02:32,37.4636,-122.4286,70.92,61,0,11.5
232,Porto Walter,BR,2022-02-14 02:03:05,-8.2686,-72.7439,72.43,99,100,4.5
233,Doha,QA,2022-02-14 02:03:05,25.2867,51.5333,62.58,63,0,9.22
234,Roebourne,AU,2022-02-14 02:03:06,-20.7833,117.1333,95.76,38,66,11.25
235,Leningradskaya,RU,2022-02-14 02:03:06,46.3214,39.3877,32.16,67,0,7.36
236,Lamesa,US,2022-02-14 02:03:07,32.7376,-101.951,51.08,25,0,8.86
237,Sorland,NO,2022-02-14 02:03:08,67.667,12.6934,34.38,60,99,27.45
238,Vadso,NO,2022-02-14 02:03:08,70.0744,29.7487,16.68,88,100,12.24
239,Okhotsk,RU,2022-02-14 02:03:09,59.3833,143.3,-4.59,75,0,14.23
240,Grindavik,IS,2022-02-14 02:03:10,63.8424,-22.4338,30.15,80,75,12.66
241,Tarbes,FR,2022-02-14 02:03:11,43.25,0.1667,51.26,87,75,8.05
242,Ladario,BR,2022-02-14 02:03:13,-19.0047,-57.6017,81.93,57,80,1.01
243,Kutum,SD,2022-02-14 02:03:13,14.2,24.6667,58.08,20,7,8.34
244,Ancud,CL,2022-02-14 02:03:13,-41.8697,-73.8203,60.42,95,6,2.26
245,Ambulu,ID,2022-02-14 02:03:15,-8.345,113.6058,78.98,85,76,0.85
246,Beringovskiy,RU,2022-02-14 02:03:15,63.05,179.3167,-20.47,95,28,9.19
247,Pauini,BR,2022-02-14 02:03:16,-7.7136,-66.9764,73.02,98,100,2.08
248,Moerai,PF,2022-02-14 02:03:16,-22.4333,-151.3333,78.49,77,99,13.27
249,Casper,US,2022-02-14 02:03:18,42.8666,-106.3131,37.51,69,0,6.91
250,Ahuimanu,US,2022-02-14 02:03:19,21.4447,-157.8378,80.31,59,0,16.11
251,Shimoda,JP,2022-02-14 02:03:19,34.6667,138.95,39.11,66,100,17.65
252,Kiama,AU,2022-02-14 02:03:20,-34.6833,150.8667,83.37,56,95,11.99
253,Provideniya,RU,2022-02-14 02:03:21,64.3833,-173.3,-2.09,65,0,6.71
254,San Cristobal,VE,2022-02-14 02:03:23,7.7669,-72.225,73.58,77,100,1.32
255,Bay Roberts,CA,2022-02-14 02:03:24,47.5999,-53.2648,33.51,77,100,3.0
256,Hurghada,EG,2022-02-14 01:58:24,27.2574,33.8129,59.04,58,0,12.66
257,Yamada,JP,2022-02-14 02:03:24,39.4667,141.95,39.38,36,1,5.77
258,Yar-Sale,RU,2022-02-14 02:03:26,66.8333,70.8333,-19.86,99,100,7.25
259,Den Helder,NL,2022-02-14 02:03:26,52.9599,4.7593,52.07,74,100,35.01
260,Honiara,SB,2022-02-14 02:03:27,-9.4333,159.95,82.42,82,97,7.36
261,Ilulissat,GL,2022-02-14 02:03:27,69.2167,-51.1,6.82,72,100,13.8
262,Vao,NC,2022-02-14 02:03:28,-22.6667,167.4833,80.46,80,99,9.13
263,Codrington,AU,2022-02-14 02:03:28,-38.2667,141.9667,71.44,60,25,10.71
264,Lakes Entrance,AU,2022-02-14 02:03:28,-37.8811,147.981,91.17,52,15,7.38
265,Grand Gaube,MU,2022-02-14 02:03:29,-20.0064,57.6608,80.38,80,100,10.0
266,Kudahuvadhoo,MV,2022-02-14 02:03:29,2.6708,72.8944,81.34,75,86,7.92
267,Phangnga,TH,2022-02-14 02:03:31,8.4509,98.5298,84.81,77,90,3.96
268,Ariquemes,BR,2022-02-14 02:03:32,-9.9133,-63.0408,71.22,99,100,1.9
269,Buraydah,SA,2022-02-14 02:03:35,26.326,43.975,50.14,32,0,4.94
270,Balung,ID,2022-02-14 02:03:36,-7.7333,113.9167,82.18,77,86,2.1
271,Mecca,SA,2022-02-14 02:03:36,21.4267,39.8261,71.58,27,7,4.79
272,Barcelos,PT,2022-02-14 02:03:37,41.5388,-8.6151,50.14,88,29,5.46
273,Morondava,MG,2022-02-14 02:03:37,-20.2833,44.2833,77.97,91,24,8.28
274,Ishigaki,JP,2022-02-14 01:59:13,24.3448,124.1572,66.33,88,75,14.97
275,Dwarka,IN,2022-02-14 02:03:41,22.2394,68.9678,68.27,64,0,6.31
276,Bloomfield,US,2022-02-14 02:00:48,40.8068,-74.1854,29.98,70,100,8.05
277,Aksha,RU,2022-02-14 02:03:44,50.2814,113.2867,-10.89,91,69,1.97
278,Cuamba,MZ,2022-02-14 02:03:45,-14.8031,36.5372,68.86,98,99,0.34
279,Dikson,RU,2022-02-14 02:03:46,73.5069,80.5464,-5.42,88,100,23.17
280,Clyde River,CA,2022-02-14 02:03:47,70.4692,-68.5914,-14.57,76,100,25.32
281,Sumbe,AO,2022-02-14 02:03:49,-11.2061,13.8437,74.91,85,99,3.67
282,Ahlat,TR,2022-02-14 02:03:50,38.7518,42.4814,18.0,75,100,3.67
283,Hambantota,LK,2022-02-14 02:03:51,6.1241,81.1185,77.34,94,40,9.22
284,Chiang Khong,TH,2022-02-14 02:03:51,20.2613,100.4046,68.63,35,49,1.97
285,Pontes E Lacerda,BR,2022-02-14 02:03:52,-15.2261,-59.3353,71.62,97,100,2.21
286,Samarai,PG,2022-02-14 02:03:52,-10.6167,150.6667,83.23,69,69,7.92
